run_id,phase,protocol,protocol_label,composition,N,seed,seed_index,tag,horizon_s,H_N_Hps,H_N_THs,P_N_W,eta_network_J_per_TH,difficulty,target,q_per_candidate,nonce_domain,domain_semantics,allocation,selection_rule,target_hash_fraction,target_count_fraction,reserve_schedule,trigger_s,wake_s,n_active_initial,r_count_initial,r_hash_initial,r_power_initial,accepted_blocks,closed_rounds,blocks_created,stale_blocks,stale_rate,blocks_per_hour,mean_block_interval,median_block_interval,sd_block_interval,p95_block_interval,total_evaluations,unique_evaluations,duplicate_evaluations,duplicate_ratio,distinct_nonce_values,nonce_value_reuse_ratio,n_templates,stale_evaluations,useful_chain_evaluations,reserve_activations,stage_max_reached,epoch_exhaustions,range_completions,work_accounting_error,execution_time_seconds,commit_hash,config_hash,t_active_miner_s,t_low_miner_s,t_standby_miner_s,t_waking_miner_s,F_active,F_low,F_standby,F_waking,F_parked_minertime,F_parked_power_weighted,pw_active_Ws,pw_low_Ws,pw_standby_Ws,pw_waking_Ws,integral_H_active_hashes,integral_P_active_Ws,integral_P_waking_Ws,integral_P_parked_nominal_Ws,mean_h_active_fraction,mean_p_drawn_fraction,min_h_active_fraction,wake_events,low_episodes,mean_low_episode_s,max_low_episode_s,standby_episodes,mean_standby_episode_s,miners_entering_low,miners_entering_standby,state_time_conservation_error_s,min_state_residence_s,HashCapacityResidence_hashes,PowerResidence_Ws,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,SelectivityGain_defined,mean_SecurityHashFraction,min_SecurityHashFraction,mean_PowerDrawnFraction,gini_blocks_by_miner,gini_active_time_by_miner,miners_with_zero_active_time,miners_with_zero_blocks,participation_share_S21PRO,reward_share_S21PRO,active_time_share_S21PRO,installed_hash_share_S21PRO,selection_frequency_S21PRO,n_S21PRO,blocks_won_S21PRO,participation_share_S19XP,reward_share_S19XP,active_time_share_S19XP,installed_hash_share_S19XP,selection_frequency_S19XP,n_S19XP,blocks_won_S19XP,participation_share_S19JPRO,reward_share_S19JPRO,active_time_share_S19JPRO,installed_hash_share_S19JPRO,selection_frequency_S19JPRO,n_S19JPRO,blocks_won_S19JPRO
8Y_H0_N100_POW_seed001,primary,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,8130977030838769163,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,18,18,18,0,0.0,6.48,513.0871119634871,227.52326575493225,720.8537414651039,1299.7797680674657,233999999999999999918,233999999999999999918,0,0.0,4294967296,0.9999999999816455,2900,1.7373793887315773e+17,8.954089032606784e+17,0,0,0,1000,0.0,0.016019214000152715,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.8200000000000001,0.0,0,82,1.0,1.0,1.0,1.0,1.0,100,18,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P0_ALL_seed001,primary,P0_ALL,PoCol-All (all miners active) - within-PoCol control,H0,100,8130977030838769163,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,18,18,18,0,0.0,6.48,513.960158679991,227.52326575493225,723.092324944157,1303.4515972549739,233560493411698403182,233560493411698403182,0,0.0,4294967296,0.9999999999816109,29,1.7373793887316205e+17,8.954089032606784e+17,0,0,10,1000,9.820838989052716e-16,0.021713915000418638,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998121.7667166599,1878.2332833401558,0.0,0.0,0.9981217667166599,0.0018782332833401558,0.0,0.0,0.0018782332833401558,0.0018782332833401558,3503407401.1754766,6592598.824523947,0.0,0.0,2.3356049341169864e+20,3503407401.17548,0.0,6592598.8245239435,0.9981217667166609,0.998121766716661,0.0,0,1000,1.8782332833401558,4.6569388709049235,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3356049341169864e+20,3503407401.17548,0.0018782332833391369,0.0018782332833390258,0.9999999999999409,True,0.9981217667166609,0.0,0.998121766716661,0.8200000000000001,6.724587777684476e-05,0,82,1.0,1.0,0.9981217667166599,1.0,1.0,100,18,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P3_ENERGY_seed001,primary,P3_ENERGY,PoCol energy-aware active set,H0,100,8130977030838769163,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,0.6,,,300.0,10.0,60,0.6,0.6,0.6,13,13,13,0,0.0,4.680000000000001,724.8287678387586,277.430876198845,1151.2312650900628,2421.2691420887554,140147276547174528549,140147276547174528549,0,0.0,4294967296,0.9999999999693538,25,8.021144952880486e+16,6.552288470763933e+17,0,0,11,660,4.67622358526105e-16,0.01159217600024931,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,598919.9852443355,1080.0147556644124,400000.0,0.0,0.5989199852443355,0.0010800147556644124,0.4,0.0,0.4010800147556644,0.4010800147556644,2102209148.2076194,3790851.7923820876,1404000000.0,0.0,1.4014727654717447e+20,2102209148.2076163,0.0,1407790851.792384,0.5989199852443353,0.5989199852443351,0.0,0,660,1.6363859934309275,5.0156884165171505,40,10000.0,60,0,1.8189894035458565e-12,0.0,1.4014727654717447e+20,2102209148.2076163,0.4010800147556647,0.4010800147556649,1.0000000000000004,True,0.5989199852443353,0.0,0.5989199852443351,0.8699999999999999,0.40003969517609295,40,87,1.0,1.0,0.5989199852443355,1.0,0.6,100,13,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P4_RESERVE_seed001,primary,P4_RESERVE,PoCol adaptive reserve activation,H0,100,8130977030838769163,1,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,"0.60,0.75,0.90,1.00",300.0,10.0,60,0.6,0.6,0.6,12,12,12,0,0.0,4.32,762.4671413977395,180.2453061767842,1169.8250728341138,2752.9491114337507,145976471335453885540,145976471335453885540,0,0.0,4294967296,0.9999999999705776,19,7.233874222996891e+16,5.144662877105723e+17,196,3,6,810,0.0,0.014362143000198557,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,623831.0740831366,213592.69193360844,160616.23398325534,1960.0,0.6238310740831366,0.21359269193360844,0.16061623398325534,0.00196,0.3742089259168638,0.37420892591686383,2189647070.031809,749710348.6869656,563762981.2812264,6879600.0,1.4597647133545388e+20,2189647070.0318084,6879600.0,1313473329.9681919,0.6238310740831362,0.6257910740831363,0.0,196,810,263.6946813995168,911.2694505445284,206,779.690456229395,100,40,0.0,0.0,1.4597647133545388e+20,2196526670.0318084,0.3761689259168638,0.3742089259168637,0.9947895749357212,True,0.6238310740831362,0.0,0.6257910740831363,0.8799999999999999,0.08666136660812596,0,88,1.0,1.0,0.6238310740831366,1.0,0.6,100,12,,,,,,0,0,,,,,,0,0
8Y_H0_N100_POW_seed002,primary,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,4647866675757887467,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,24,24,24,0,0.0,8.64,370.9004414594781,242.70922674357837,346.2675581887571,932.4590898344236,234000000000000000485,234000000000000000485,0,0.0,4294967296,0.9999999999816455,3300,2.2477829680867187e+17,1.0983953907588353e+18,0,0,0,800,0.0,0.016614402999948652,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.7966666666666666,0.0,0,78,1.0,1.0,1.0,1.0,1.0,100,24,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P0_ALL_seed002,primary,P0_ALL,PoCol-All (all miners active) - within-PoCol control,H0,100,4647866675757887467,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,24,24,24,0,0.0,8.64,371.62965838657556,242.70922674357837,347.4954419500325,934.89572836928,233603289443811580461,233603289443811580461,0,0.0,4294967296,0.9999999999816143,33,2.2477829680867187e+17,1.0983953907588353e+18,0,0,8,800,5.610879894374371e-16,0.02486049799972534,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,998304.655742784,1695.3442572154693,0.0,0.0,0.998304655742784,0.0016953442572154693,0.0,0.0,0.0016953442572154693,0.0016953442572154693,3504049341.657175,5950658.3428262975,0.0,0.0,2.3360328944381172e+20,3504049341.657173,0.0,5950658.342826294,0.9983046557427852,0.9983046557427844,0.0,0,800,2.1191803215193366,5.486670696055171,0,0.0,100,0,1.8189894035458565e-12,0.0,2.3360328944381172e+20,3504049341.657173,0.001695344257214848,0.0016953442572156252,1.0000000000004583,True,0.9983046557427852,0.0,0.9983046557427844,0.7966666666666666,9.684578846180791e-05,0,78,1.0,1.0,0.998304655742784,1.0,1.0,100,24,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P3_ENERGY_seed002,primary,P3_ENERGY,PoCol energy-aware active set,H0,100,4647866675757887467,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,0.6,,,300.0,10.0,60,0.6,0.6,0.6,15,15,15,0,0.0,5.4,662.9391871220039,650.3051162593108,577.1530398578337,1692.4035811066594,140085715538645519795,140085715538645519795,0,0.0,4294967296,0.9999999999693404,28,8.470105594626536e+16,6.358787739741203e+17,0,0,12,720,9.356557126186162e-16,0.012856985999860626,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,598656.9040113059,1343.095988694355,400000.0,0.0,0.5986569040113059,0.001343095988694355,0.4,0.0,0.40134309598869433,0.40134309598869433,2101285733.079683,4714266.920317186,1404000000.0,0.0,1.4008571553864539e+20,2101285733.079685,0.0,1408714266.920319,0.5986569040113051,0.5986569040113062,0.0,0,720,1.8654110954088263,4.347484500143764,40,10000.0,60,0,1.8189894035458565e-12,0.0,1.4008571553864539e+20,2101285733.079685,0.4013430959886949,0.4013430959886938,0.9999999999999972,True,0.5986569040113051,0.0,0.5986569040113062,0.8846666666666667,0.4000516858121046,40,87,1.0,1.0,0.5986569040113059,1.0,0.6,100,15,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P4_RESERVE_seed002,primary,P4_RESERVE,PoCol adaptive reserve activation,H0,100,4647866675757887467,2,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,"0.60,0.75,0.90,1.00",300.0,10.0,60,0.6,0.6,0.6,13,13,13,0,0.0,4.680000000000001,766.7916853609066,363.9647655507682,822.3353550622014,2052.611812245353,125214563552559567902,125214563552559567902,0,0.0,4294967296,0.9999999999656991,19,8.95789634877407e+16,5.620685027456412e+17,238,3,5,560,3.9254219801172067e-16,0.01448808699979054,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,535104.9724468356,289180.27802082605,173334.74953233835,2380.0,0.5351049724468356,0.2891802780208261,0.17333474953233835,0.00238,0.4625150275531644,0.4625150275531642,1878218453.2883937,1015022775.8530989,608404970.8585074,8353800.0,1.2521456355255951e+20,1878218453.2883923,8353799.999999997,1623427746.711605,0.5351049724468355,0.5374849724468355,0.0,238,560,516.3933536086175,912.3496523576314,278,623.5062932817931,100,40,0.0,0.0,1.2521456355255951e+20,1886572253.2883923,0.4648950275531645,0.46251502755316454,0.9948805647319431,True,0.5351049724468355,0.0,0.5374849724468355,0.8884615384615384,0.089240527634185,0,88,1.0,1.0,0.5351049724468356,1.0,0.6,100,13,,,,,,0,0,,,,,,0,0
8Y_H0_N100_POW_seed003,primary,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,1989633920448304007,3,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,16,16,16,0,0.0,5.76,586.0192625108572,372.17104135133644,620.9248049474054,1724.9980317744355,233999999999999997832,233999999999999997832,0,0.0,4294967296,0.9999999999816455,2700,1.6078532214743808e+17,9.290495538664376e+17,0,0,0,1000,0.0,0.013383351999891602,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.8912500000000001,0.0,0,87,1.0,1.0,1.0,1.0,1.0,100,16,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P0_ALL_seed003,primary,P0_ALL,PoCol-All (all miners active) - within-PoCol control,H0,100,1989633920448304007,3,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,16,16,16,0,0.0,5.76,587.3313058043298,372.17104135133644,623.0652209574572,1730.1294262674326,233498930124416169376,233498930124416169376,0,0.0,4294967296,0.999999999981606,27,1.6078532214743808e+17,9.290495538664376e+17,0,0,10,1000,9.82342830769205e-16,0.02148570800000016,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997858.6757453682,2141.3242546317624,0.0,0.0,0.9978586757453682,0.0021413242546317623,0.0,0.0,0.0021413242546317623,0.0021413242546317627,3502483951.8662424,7516048.133757487,0.0,0.0,2.334989301244164e+20,3502483951.866242,0.0,7516048.13375748,0.9978586757453691,0.997858675745368,0.0,0,1000,2.1413242546317623,4.3819210462006595,0,0.0,100,0,1.8189894035458565e-12,0.0,2.334989301244164e+20,3502483951.866242,0.002141324254630872,0.002141324254631982,1.0000000000005185,True,0.9978586757453691,0.0,0.997858675745368,0.8912500000000001,7.865634207449013e-05,0,87,1.0,1.0,0.9978586757453682,1.0,1.0,100,16,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P3_ENERGY_seed003,primary,P3_ENERGY,PoCol energy-aware active set,H0,100,1989633920448304007,3,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,0.6,,,300.0,10.0,60,0.6,0.6,0.6,14,14,14,0,0.0,5.04,597.7317076783854,490.412018946997,556.9239933816236,1618.6806115745444,140135317521074791097,140135317521074791097,0,0.0,4294967296,0.9999999999693513,24,8.34204670037045e+16,9.712212680306706e+17,0,0,9,540,2.3383113250570873e-16,0.011068404000070586,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,598868.8782951916,1131.1217048085832,400000.0,0.0,0.5988688782951915,0.0011311217048085831,0.4,0.0,0.40113112170480864,0.4011311217048086,2102029762.816122,3970237.1838781266,1404000000.0,0.0,1.4013531752107477e+20,2102029762.8161216,0.0,1407970237.183878,0.5988688782951913,0.5988688782951913,0.0,0,540,2.0946698237195984,5.112337149697851,40,10000.0,60,0,1.8189894035458565e-12,0.0,1.4013531752107477e+20,2102029762.8161216,0.4011311217048087,0.4011311217048087,1.0,True,0.5988688782951913,0.0,0.5988688782951913,0.9228571428571428,0.4000488074039219,40,90,1.0,1.0,0.5988688782951915,1.0,0.6,100,14,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P4_RESERVE_seed003,primary,P4_RESERVE,PoCol adaptive reserve activation,H0,100,1989633920448304007,3,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,"0.60,0.75,0.90,1.00",300.0,10.0,60,0.6,0.6,0.6,10,10,10,0,0.0,3.6,829.46800199955,571.4023371346805,688.3743837718475,1823.058205478484,119181748801697626879,119181748801697626879,0,0.0,4294967296,0.9999999999639628,15,7.549364545609595e+16,7.375656795384116e+17,264,3,4,476,5.498828525250381e-16,0.014211931999852823,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,509323.71282776765,306277.15010899137,181759.13706324095,2640.0,0.5093237128277677,0.30627715010899137,0.18175913706324096,0.00264,0.4880362871722323,0.4880362871722322,1787726232.0254648,1075032796.8825593,637974571.0919757,9266400.0,1.1918174880169756e+20,1787726232.0254633,9266399.999999998,1713007367.9745376,0.5093237128277673,0.5119637128277673,0.0,264,476,643.4393909852758,911.7033471669729,264,688.481579785004,100,40,0.0,0.0,1.1918174880169756e+20,1796992632.0254633,0.49067628717223266,0.4880362871722327,0.9946196707095541,True,0.5093237128277673,0.0,0.5119637128277673,0.9179999999999999,0.09902702572002742,0,91,1.0,1.0,0.5093237128277677,1.0,0.6,100,10,,,,,,0,0,,,,,,0,0
8Y_H0_N100_POW_seed004,primary,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,4664050418518895039,4,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,15,15,15,0,0.0,5.4,609.9316332798261,482.72516831604844,474.64770023742415,1308.6577538453314,234000000000000000977,234000000000000000977,0,0.0,4294967296,0.9999999999816455,2600,1.3740671252202064e+17,8.752521317014877e+17,0,0,0,1000,0.0,0.011922916999992594,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.8500000000000001,0.0,0,85,1.0,1.0,1.0,1.0,1.0,100,15,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P0_ALL_seed004,primary,P0_ALL,PoCol-All (all miners active) - within-PoCol control,H0,100,4664050418518895039,4,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,1.0,,,300.0,10.0,100,1.0,1.0,1.0,15,15,15,0,0.0,5.4,611.1221311427038,482.72516831604844,476.1627860937795,1312.7223587006242,233507813580499839207,233507813580499839207,0,0.0,4294967296,0.9999999999816067,26,1.3740671252202054e+17,8.752521317014877e+17,0,0,10,1000,1.5436228641477045e-15,0.01780951599994296,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,997896.6392329055,2103.3607670946963,0.0,0.0,0.9978966392329055,0.0021033607670946962,0.0,0.0,0.0021033607670946962,0.002103360767094697,3502617203.7074966,7382796.2925023865,0.0,0.0,2.335078135805002e+20,3502617203.707495,0.0,7382796.29250238,0.9978966392329068,0.9978966392329046,0.0,0,1000,2.103360767094697,6.0248986281289945,0,0.0,100,0,1.8189894035458565e-12,0.0,2.335078135805002e+20,3502617203.707495,0.0021033607670931653,0.0021033607670953858,1.0000000000010556,True,0.9978966392329068,0.0,0.9978966392329046,0.8500000000000001,8.891526984999842e-05,0,85,1.0,1.0,0.9978966392329055,1.0,1.0,100,15,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P3_ENERGY_seed004,primary,P3_ENERGY,PoCol energy-aware active set,H0,100,4664050418518895039,4,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,0.6,,,300.0,10.0,60,0.6,0.6,0.6,10,10,10,0,0.0,3.6,996.3741235279216,435.07001102900585,934.5708104028537,2322.576616392392,140041603968908126687,140041603968908126687,0,0.0,4294967296,0.9999999999693308,23,5.527062869104086e+16,6.397495774260786e+17,0,0,12,720,1.1699380423861423e-15,0.010765447999801836,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,598468.3930295218,1531.6069704780896,400000.0,0.0,0.5984683930295218,0.0015316069704780896,0.4,0.0,0.40153160697047807,0.40153160697047807,2100624059.5336215,5375940.466378091,1404000000.0,0.0,1.400416039689083e+20,2100624059.533623,0.0,1409375940.4663775,0.5984683930295226,0.5984683930295223,0.0,0,720,2.127231903441791,6.911723829757193,40,10000.0,60,0,1.8189894035458565e-12,0.0,1.400416039689083e+20,2100624059.533623,0.4015316069704774,0.40153160697047774,1.0000000000000009,True,0.5984683930295226,0.0,0.5984683930295223,0.8999999999999999,0.4000323835435178,40,90,1.0,1.0,0.5984683930295218,1.0,0.6,100,10,,,,,,0,0,,,,,,0,0
8Y_H0_N100_P4_RESERVE_seed004,primary,P4_RESERVE,PoCol adaptive reserve activation,H0,100,4664050418518895039,4,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,"0.60,0.75,0.90,1.00",300.0,10.0,60,0.6,0.6,0.6,10,10,10,0,0.0,3.6,961.5598814477191,397.0442781988677,1063.7722528427996,2573.442870936756,147845935525849033918,147845935525849033918,0,0.0,4294967296,0.9999999999709497,18,7.17717681629052e+16,6.249116614135611e+17,200,3,7,700,2.2163612332968675e-16,0.01364150699964739,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,631820.2372899529,206275.76417282067,159903.9985372262,2000.0,0.631820237289953,0.20627576417282067,0.1599039985372262,0.002,0.3661797627100468,0.36617976271004693,2217689032.887736,724027932.2466007,561263034.865664,7020000.0,1.4784593552584907e+20,2217689032.887732,7020000.000000002,1285290967.1122644,0.6318202372899533,0.6338202372899522,0.0,200,700,294.6796631040296,912.1932390578318,224,713.8571363269032,100,40,0.0,0.0,1.4784593552584907e+20,2224709032.887732,0.3681797627100467,0.3661797627100478,0.9945678709082825,True,0.6318202372899533,0.0,0.6338202372899522,0.8999999999999999,0.09222678934978101,0,90,1.0,1.0,0.631820237289953,1.0,0.6,100,10,,,,,,0,0,,,,,,0,0
8Y_H0_N100_POW_seed005,primary,POW,Traditional competitive PoW (distinct per-miner templates) - principal comparator,H0,100,4312536253712814195,5,,10000.0,2.34e+16,23400.0,351000.0,15.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,14040000000000000000,installed,hash,S4_OPTIMIZE,,,,300.0,10.0,100,1.0,1.0,1.0,24,24,24,0,0.0,8.64,404.6543238457073,257.4786446471471,385.1372423156179,1111.7916495615846,234000000000000002933,234000000000000002933,0,0.0,4294967296,0.9999999999816455,3200,2.4188461773093942e+17,1.287466339085127e+18,0,0,0,700,0.0,0.016729389999909472,ec89b3bbf840c2e27c5e270e21ea6ed29c1155c3,2d7344a1dac41b6a3484536e18939f294bff62d32a67310254f9a41fc7dfb0d0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3510000000.0,0.0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,2.34e+20,3510000000.0,0.0,0.0,,False,1.0,1.0,1.0,0.8125,0.0,0,79,1.0,1.0,1.0,1.0,1.0,100,24,,,,,,0,0,,,,,,0,0
